token	frequency	length
zvižda	1	6
jednim	35	6
priznaje	4	8
prispjeti	2	9
carastvo	1	8
maharadžah	3	10
najboljeg	2	9
preuzela	1	8
najèišæeg	1	9
patvorenih	1	10
tvrdjaše	1	8
spominju	6	8
uredili	3	7
obliju	1	6
fontane	1	7
rodilo	2	6
sopot	1	5
nujnim	3	6
privržena	1	9
zalajali	2	8
opisujuæi	1	9
svidjate	3	8
suškalom	1	8
muèiš	2	5
æuteæ	4	5
kaštrene	1	8
ostara	2	6
slaèino	1	7
mamen	3	5
povrh	7	5
èadjavi	2	7
pienjem	1	7
svjež	5	5
cc	1	2
okrstila	1	8
perine	1	6
idu	18	3
oveæe	2	5
sed	4	3
vrana	7	5
marije	2	6
šiljak	2	6
méka	1	4
hipokrene	1	9
mirio	7	5
stiene	5	6
krokom	4	6
mahnitim	1	8
vijaše	9	6
trzaju	2	6
najrazkošnijih	1	14
progazi	1	7
kaèiæu	2	6
utoèila	1	7
crljene	2	7
olivi	2	5
znaèaja	6	7
miešanim	1	8
sankom	3	6
cvancike	1	8
omiljelo	1	8
sredozemnoga	1	12
malim	10	5
prozerpina	1	10
carskih	2	7
približava	1	10
kleta	6	5
pretrpio	1	8
kopkajuæi	1	9
prekratko	2	9
kario	1	5
napirlitane	1	11
posladiti	1	9
pianto	1	6
vragu	1	5
predio	3	6
kurjaèki	1	8
crnocrvenome	1	12
izprošena	3	9
mudrac	4	6
ljubopitan	3	10
side	2	4
nakositi	1	8
mil	20	3
cielome	1	7
svemienju	2	9
znanost	2	7
ovjenèanu	1	9
janji	1	5
usjekavši	1	9
nedotjeran	1	10
jaci	2	4
procvast	2	8
drpa	1	4
pripovjedaèi	3	12
novu	14	4
izajde	2	6
uhvaæeni	1	8
strièeviæa	1	10
korektor	1	8
imah	3	4
molitvi	8	7
k	555	1
okean	15	5
slije	1	5
heliosa	1	7
bugarila	1	8
mnogih	13	6
okupu	13	5
pustinji	8	8
odvažiti	2	8
vjeèitih	2	8
uzmože	7	6
suknja	3	6
dotrapavši	1	10
razmišljaše	5	11
grobom	8	6
dojistine	1	9
milojadan	2	9
usnila	1	6
miloti	1	6
dragih	2	6
razumievanje	1	12
skenderbeg	1	10
kukviju	1	7
nepristojnom	1	12
klerik	2	6
mladjim	1	7
mimošadši	3	9
jazicih	1	7
numeru	1	6
zanimam	1	7
æupriji	4	7
dida	7	4
dobijemo	1	8
dragiæ	1	6
bogatstvom	4	10
galiæ	2	5
quod	1	4
spomeni	9	7
gouverne	1	8
dražestno	2	9
vjenèala	2	8
mišac	1	5
pohadja	1	7
narod	88	5
pretvaraš	2	9
zgovarati	1	9
peèatom	3	7
gizdat	1	6
pruski	1	6
lumpuje	1	7
premiæuæi	1	9
sniæuje	1	7
žegjaše	1	7
nekim	14	5
dostojanstvenim	1	15
nesrejen	2	8
bujna	7	5
znobiti	1	7
razvedrila	1	10
biljegu	1	7
jurišamo	1	8
lotinja	1	7
napunjajuæ	1	10
rugaveti	1	8
martiæ	1	6
radostiva	1	9
karala	1	6
unutarnjeg	1	10
porodiènoj	1	10
ustavno	1	7
dopiru	4	6
nabrao	1	6
zahvaljujem	2	11
danteovoj	1	9
novac	11	5
unakaziti	1	9
praotaèbine	1	11
poznanstva	1	10
sajmovih	1	8
nedokuènost	1	11
rubine	1	6
omilje	2	6
jimismo	1	7
košulja	9	7
razbiše	2	7
kaka	3	4
progonimo	1	9
kremen	4	6
bezbrojnosti	1	12
pružala	4	7
okrajne	1	7
galjuf	2	6
napuniše	2	8
stisnut	2	7
prisutan	1	8
savjeti	1	7
djelo	54	5
kita	3	4
elegiji	1	7
izpovidati	1	10
istaknuti	1	9
bubnjevi	3	8
kolerik	1	7
kujuæi	1	6
podnose	1	7
izlazeæe	1	8
srcâ	1	4
selski	2	6
poldikin	1	8
nezahvalnièe	1	12
nezgoda	1	7
senza	1	5
mukotrpno	1	9
moga'	1	5
zaliva	3	6
pobija	3	6
zakratiti	1	9
delorko	2	7
sokovi	1	6
sram	6	4
razkrabi	1	8
suseljanin	1	10
lio	2	3
naklada	10	7
vihra	4	5
akademiju	2	9
kalovitu	1	8
stroju	1	6
kvasila	1	7
naprama	7	7
paukovcu	2	8
conte	3	5
pripravan	9	9
rièem	3	5
zaronu	1	6
obsjevu	1	7
tjeraju	4	7
zaèuda	1	6
bavim	3	5
vale	15	4
blagdanima	1	10
glušac	1	6
pripovisti	31	10
romanica	2	8
dušmana	5	7
zagustio	2	8
naredio	2	7
utiske	1	6
matijeviæem	1	11
omjerivši	1	9
vadim	1	5
došljak	4	7
èitasmo	1	7
pljuje	1	6
boraviš	2	7
najamnicima	1	11
gothaliana	1	10
možda	109	5
plodilo	1	7
zametati	1	8
naviek	2	6
rade	20	4
županijski	2	10
tvorevina	3	9
grdila	1	6
ciel	2	4
zavjesu	2	7
taržan	3	6
kriepi	8	6
vjesnik	7	7
nesretnici	2	10
uzde	1	4
kadgod	23	6
kršæanski	6	9
zavidnost	1	9
akropolu	2	8
malinar	4	7
izžimahu	1	8
alemlja	1	7
naumi	2	5
ptièjih	1	7
rogovim	3	7
pobrati	2	7
dekla	3	5
okupali	5	7
ozdravlja	3	9
odsuæa	1	6
poznadu	1	7
metrièkom	1	9
davnjega	1	8
nadanut	2	7
šikarja	1	7
bliski	1	6
donum	1	5
vri	11	3
vim	4	3
dospijeva	1	9
prasnuše	2	8
utjeèu	1	6
niesmo	7	6
tjemenu	1	7
medij	1	5
poznanik	1	8
jako	26	4
driemnom	1	8
biku	3	4
pokloniti	2	9
miloduh	1	7
tamnila	2	7
izvlatati	1	9
stvarnom	1	8
klone	14	5
podupre	1	7
mekušnih	1	8
gusaka	1	6
iskorištava	1	11
blatnu	1	6
jurila	3	6
prosborim	2	9
dostigla	1	8
nevine	2	6
èudan	7	5
naskoèahu	1	9
èekat	1	5
zadaje	3	6
izlieèila	1	9
groba	50	5
skamenio	2	8
kebete	1	6
pokorno	4	7
luzih	4	5
filologa	1	8
snahom	1	6
prezrazborno	2	12
govedskim	1	9
izvuku	1	6
izdanja	19	7
zavezem	2	7
tuklo	1	5
grleæ	2	5
sidra	2	5
djeèinu	1	7
uzroèan	1	7
poèastiti	1	9
sanjarija	1	9
èetvorica	1	9
mjestance	5	9
okružiše	1	8
roðak	1	5
vaselenom	3	9
ispustio	2	8
nasmijah	1	8
poskakujuæ	1	10
mjestih	2	7
oporni	1	6
lijep	4	5
komediju	1	8
dijela	2	6
trenutci	1	8
uzeo	32	4
krvnik	3	6
hršumom	3	7
colubris	1	8
obore	1	5
neiskreno	2	9
umaljao	1	7
starvi	1	6
zaklopljenu	1	11
požare	1	6
prezime	4	7
dudara	1	6
zapanjene	1	9
manom	7	5
narodom	2	7
zasmæen	1	7
smjernost	1	9
orlova	2	6
vjernije	1	8
više	468	4
svemoæi	3	7
izlazeæ	2	7
pritvorima	2	10
rano	34	4
teledanku	3	9
prelija	1	7
èasnu	2	5
sjenice	1	7
zvana	11	5
precinodrag	1	11
žuto	4	4
južnu	1	5
novi	42	4
škrinjice	4	9
zb	2	2
zastavama	1	9
naime	19	5
srèem	1	5
dafine	13	6
bezazlene	1	9
zloèestoj	1	9
posrnuli	1	8
upram	3	5
drhtah	1	6
nišæetan	1	8
maroje	1	6
skoni	1	5
kamikov	1	7
tunisu	1	6
dinarina	3	8
drag	4	4
nedužne	2	7
pribivati	1	9
naprasitoj	1	10
èengiæ	1	6
slavenskomu	1	11
èuti	40	4
ružom	3	5
razabirao	1	9
izmjenjivale	1	12
ljepušnom	1	9
plaèuæ	7	6
šetala	3	6
obveznica	1	9
tudjinaca	2	9
odstupiti	3	9
smrtan	1	6
gorit	3	5
raztisnuti	1	10
primjera	3	8
divana	1	6
namjeraš	1	8
ispaše	1	6
izobražena	1	10
svetcima	1	8
trezniji	1	8
beskraj	6	7
nazivljem	1	9
slozi	9	5
èasa	23	4
spavaj	1	6
uvalivši	4	8
zamamiti	1	8
djevièanstva	3	12
jasna	11	5
haknu	1	5
izgledalo	1	9
rogove	2	6
bludila	1	7
uzana	2	5
èemer	9	5
gvozda	1	6
odtopim	1	7
štene	2	5
sunèanom	1	8
obojih	1	6
prisvoji	1	8
prekrasno	5	9
utalj	2	5
svjetinom	2	9
odbjegla	2	8
svescima	1	8
donio	12	5
odozgo	4	6
staklene	1	8
intencionalno	2	13
æilime	1	6
igru	3	4
skinu	2	5
kîm	5	3
pozlatu	1	7
pozva	4	5
uvidjala	3	8
pribiva	8	7
cistercite	1	10
cvjetao	2	7
spopade	4	7
vojnica	1	7
juga	4	4
zadavorili	1	10
izgubila	5	8
oglušan	1	7
nagnuo	4	6
izgorilo	1	8
natoèio	1	7
mrazu	2	5
beæarima	2	8
zanovietanja	1	12
æaæku	1	5
eppiscopi	1	9
opljaèkaše	2	10
bielca	2	6
mandiæev	1	8
svjetuje	1	8
radoznalost	1	11
sjat	1	4
oniksa	1	6
srebernu	1	8
poznivam	1	8
ugolinom	1	8
poslušna	1	8
petrarkom	1	9
odustala	2	8
sijaše	5	6
župana	1	6
kraljevskog	1	11
podati	4	6
divojko	1	7
ostarjelu	2	9
etni	1	4
puteni	1	6
grci	2	4
vultavom	1	8
izgubljene	2	10
urana	1	5
red	52	3
prodirala	1	9
varaju	6	6
treæeg	3	6
seminaru	1	8
nadvi	1	5
svukoše	1	7
nevezaniji	1	10
familijom	1	9
napeje	3	6
skupismo	1	8
uzmoliti	1	8
mobom	3	5
andjela	1	7
podsjeæavao	1	11
cvalo	1	5
popoldneva	1	10
družini	10	7
kašalj	4	6
beduinâ	1	7
milovanje	7	9
romano	1	6
izprid	1	6
ostavljam	1	9
jakih	2	5
gunj	1	4
izbrajam	1	8
izgorješe	1	9
obiseri	1	7
hotna	1	5
peèalnik	1	8
uhoditi	1	7
domusque	1	8
tihe	13	4
potentia	1	8
pašinog	1	7
granajuæ	1	8
putniku	4	7
pozaostati	1	10
utemeljene	1	10
domoljubna	1	10
hladovitih	1	10
izvanredan	1	10
proèitah	1	8
utone	1	5
zaprietio	2	9
spazio	8	6
stepsti	1	7
okrugla	8	7
raznosili	1	9
iskricom	1	8
seoca	1	5
dolikuje	3	8
barjak	1	6
zviždi	3	6
togom	1	5
trnjem	3	6
anièinim	1	8
razgovorila	2	11
funkcionalizirana	1	17
bunitelj	1	8
veljim	1	6
moguæe	22	6
božje	32	5
božjim	6	6
kuželj	3	6
baltazarom	1	10
joge	3	4
kletve	8	6
robote	1	6
konju	15	5
nadživljujuæ	1	12
talase	1	6
aleksandra	5	10
ovdašnjemu	1	10
uzplahiri	1	9
prosinca	10	8
pitat	3	5
adamova	5	7
nepoèetnost	1	11
ušiven	1	6
lievo	18	5
onoliko	3	7
ljubav	288	6
stvorio	9	7
narodih	1	7
zviezde	65	7
komade	5	6
prošô	1	5
rujnoga	1	7
premnogo	1	8
èudim	6	5
pribižišæe	1	10
oblaèine	1	8
kob	23	3
prosjakom	1	9
božastveno	2	10
pupove	1	6
nadojim	1	7
neposredne	1	10
ljepša	9	6
trostruki	2	9
izbrojim	1	8
oæutjeti	1	8
tužila	2	6
upiti	1	5
helenom	1	7
oživljuju	1	9
lipo	2	4
druže	5	5
prikazano	1	9
izdvojiti	1	9
šimi	1	4
dopušèen	1	8
stihom	4	6
sakriva	3	7
hrvatskim	10	9
znamenja	2	8
harala	2	6
dotada	2	6
pergošiæ	1	8
zaklala	1	7
proslavom	1	9
uživanjem	2	9
varijacija	2	10
volovsko	1	8
mimojti	1	7
èuvstvuje	1	9
škrili	1	6
radovan	2	7
krivošije	1	9
duh	131	3
sori	1	4
dometnut	1	8
spominjuæi	2	10
zvjezdano	1	9
užasnim	1	7
krabulja	1	8
sarèeni	1	7
krunom	6	6
pelivan	1	7
zanijeti	1	8
užina	1	5
treptaše	1	8
popievali	1	9
kobnog	1	6
divskome	2	8
kriposnivi	1	10
izkomoliti	1	10
sova	6	4
dioba	1	5
rinjihu	1	7
doseliše	1	8
mio	22	3
komiènim	1	8
brèiæima	1	8
sjajne	20	6
pjevanju	7	8
ižop	2	4
glumljivi	1	9
zvak	1	4
šèeznu	1	6
plove	3	5
ulovi	1	5
neiscrpiv	1	9
prevede	2	7
mogu	169	4
kašika	2	6
peludom	1	7
obkoljenom	1	10
upravili	1	8
sitnica	1	7
gaæavice	1	8
kompozicijsko	1	13
popuštam	1	8
povriedio	2	9
mato	4	4
starina	11	7
primim	1	6
umjele	1	6
uštinuvši	1	9
razbusiti	1	9
doktrinaran	1	11
ljubièic	1	8
višnje	5	6
razmišljanju	3	12
pritisnuo	3	9
štapom	4	6
otvrdnut	1	8
ženidbe	1	7
èasom	6	5
poutaže	1	7
usta	83	4
borivši	1	7
krvnu	1	5
tumaèenjima	1	11
zagovarala	1	10
presvetome	1	10
sadruženi	1	9
dolazim	1	7
navijek	1	7
zaponac	1	7
lonèarskoj	1	10
zrnile	1	6
žudi	6	4
biž	1	3
evropejskim	1	11
pregledat	1	9
hotimice	3	8
novinah	3	7
posræuæ	1	7
otajstvena	3	10
izprosi	1	7
sudova	1	6
svrhom	3	6
selištnjacima	1	13
otrovom	1	7
melem	1	5
žuboreæih	1	9
stavi	32	5
parip	1	5
posredovanje	1	12
žalci	1	5
pazeæi	5	6
uzdrhtavši	1	10
olujne	1	6
nieste	2	6
zaslužila	1	9
zgerditi	1	8
pauci	2	5
divan	19	5
sviem	3	5
jeronim	4	7
prestiæ	1	7
svojata	1	7
istoèišæe	2	9
bavljenje	1	9
topolje	3	7
abstrakcijama	2	13
jišæuæi	3	7
stran	21	5
kolikogodi	2	10
skrši	1	5
obilja	1	6
dubje	7	5
gradsku	2	7
istinito	11	8
contra	1	6
odsvud	2	6
nekuda	1	6
medvenim	2	8
kuæarice	2	8
griešiš	1	7
krasom	2	6
nesreæu	5	7
pošikala	1	8
pozoran	1	7
upitah	1	6
upisao	1	6
naježen	1	7
zgrijati	2	8
preobucite	1	10
unieti	2	6
kanonicima	2	10
skuta	3	5
porcis	1	6
množeæi	1	7
žiliti	1	6
fletus	1	6
èetrdeset	3	9
izgrizuju	1	9
usadiv	1	6
cure	1	4
razpru	1	6
uzpete	1	6
judex	1	5
frankopana	1	10
bolestnik	2	9
ciku	1	4
èudio	8	5
ciliktanje	1	10
svijem	2	6
uznom	1	5
gledasmo	1	8
djevojkina	3	10
nezasitno	1	9
vijat	2	5
vastrgu	1	7
èemerom	6	7
priobæiti	2	9
krajcar	1	7
prinosio	1	8
zidova	1	6
izgube	2	6
prodoli	2	7
zapaljenu	1	9
zdjelu	3	6
hrleæ	1	5
zmajskom	1	8
locationis	2	10
razgaljenih	1	11
vladali	1	7
strpavši	1	8
iskoni	2	6
pojmljiva	1	9
kozarca	2	7
priležnica	1	10
jarilo	1	6
upozoriti	1	9
uložili	1	7
munjeæ	1	6
zahtieva	2	8
upite	2	5
kaznica	1	7
matici	2	6
bokoriæ	1	7
nesimpatiènih	1	13
postavke	1	8
pašinoj	1	7
poklonima	1	9
dogje	1	5
doprinos	1	8
preuzeti	1	8
poludne	1	7
trud	18	4
justinus	1	8
èeznuæe	4	7
romorom	3	7
visi	5	4
lanom	1	5
razroje	1	7
bijelih	2	7
razgrniše	1	9
ponikla	1	7
krvni	1	5
užini	2	5
košutom	1	7
dubrovniku	7	10
èuvši	12	5
grozdanu	1	8
desnica	1	7
miljónim	1	8
opæeni	1	6
gredim	1	6
mrakoè	3	6
djede	2	5
zrakam	2	6
motivika	1	8
libet	1	5
vezati	2	6
bosiljem	2	8
peruna	1	6
kratku	6	6
dužnikom	1	8
skupljao	2	8
codice	1	6
svetinja	3	8
biljka	2	6
dlan	7	4
zlatoruna	1	9
pokažeš	1	7
dvoma	5	5
gradji	1	6
sklon	1	5
vergilijevu	1	11
obsiev	1	6
spokojnija	1	10
osušenu	1	7
sveopæu	1	7
šæetiti	1	7
okupljaju	1	9
jede	13	4
legnem	1	6
religioznu	1	10
njekoliko	20	9
pohvalnice	1	10
nota	3	4
stazom	10	6
poslidnje	1	9
arhitektonike	1	13
izbuljenih	1	10
ležaja	1	6
plemenitoga	3	11
kap	7	3
odjenu	1	6
ugljenik	1	8
zaleti	5	6
zabunjena	1	9
otrovati	2	8
ugojila	1	7
tizbe	1	5
nejasnoæu	1	9
zapali	13	6
pretvoriv	1	9
szalle	2	6
gurnuo	2	6
uzdigavši	1	9
pametna	6	7
cervere	1	7
požara	3	6
prejasna	1	8
slavgor	5	7
ljubine	1	7
lancu	1	5
lagumi	1	6
najcrnja	1	8
mahove	2	6
slabašno	1	8
možno	2	5
kotrljaš	1	8
sistema	1	7
obitelji	9	8
mojoj	29	5
majstorica	2	10
djevojci	19	8
komisiji	1	8
mešeka	1	6
oplaviti	2	8
kreni	1	5
nacionalna	3	10
jinako	7	6
vapijem	2	7
korica	2	6
uzroci	5	6
dirnuta	2	7
kiše	6	4
kamen	53	5
pristaješ	2	9
zob	3	3
vitezova	2	8
prodahnula	1	10
nerazaznana	1	11
taršæica	1	8
jakiæa	1	6
razrješujte	1	11
gostio	2	6
handžarom	2	9
kremoni	1	7
zazirem	1	7
udovièinu	1	9
mutne	12	5
eonim	1	5
spojem	1	6
vedrog	2	6
ljetnoj	2	7
s	2306	1
appetendis	1	10
nastaniti	1	9
same	35	4
slièi	2	5
okreni	2	6
planduju	1	8
amilkarov	1	9
dreseliti	1	9
varh	16	4
tirana	2	6
obuja	2	5
pripeo	2	6
ac	4	2
ubrani	1	6
pravicu	3	7
vršnjaka	2	8
djevojaèkom	1	11
šikarinom	1	9
suzuje	1	6
nesretnika	1	10
sudio	2	5
srebrenoga	8	10
odori	6	5
ljubièno	3	8
obezèašæena	1	11
medaru	2	6
naprtio	1	7
ponajveæu	1	9
izèistio	1	8
ponila	2	6
pokolenje	1	9
dugove	1	6
naslikati	2	9
gorskome	1	8
lovu	7	4
šubaru	1	6
šumom	16	5
katolièke	1	9
odmahivati	1	10
sinjemu	1	7
pomole	2	6
djevojku	37	8
aspid	1	5
sluèajno	6	8
brze	1	4
kreæu	5	5
tragu	4	5
naprezati	1	9
vrpca	4	5
èolakoviæeva	1	12
raznježenim	1	11
izlanu	1	6
èitanje	7	7
šapuæu	1	6
mjera	4	5
disonancijom	1	12
nišanim	2	7
cafil	1	5
pojedu	1	6
putnom	2	6
biesu	3	5
zavidi	2	6
oèekivani	1	9
ustani	13	6
kamika	2	6
zaustavila	2	10
barunièinu	1	10
miloglasje	3	10
najrodoljubivije	3	16
okosi	5	5
podrže	1	6
grebe	3	5
selskoj	1	7
obeæanih	1	8
eklogu	1	6
obnoviti	1	8
suhom	1	5
okrutnikove	1	11
slavuju	1	7
udesiti	3	7
prosjedjela	1	11
lomnih	1	6
neposlušnu	1	10
umaljalo	1	8
zadaviti	1	8
ozbiljna	2	8
otarke	7	6
sinèiæa	1	7
upaziše	1	7
uzroèaše	3	8
tanèinom	1	8
zaprieèe	1	8
cviljenjem	1	10
stupio	2	6
uzniku	1	6
asesora	16	7
utješen	2	7
odavde	3	6
varoški	1	7
snažna	2	6
buènijeg	1	8
dobrovoljan	1	11
cerera	1	6
krivit	3	6
vilinim	2	7
turati	1	6
namještaja	1	10
izvire	3	6
navrnuli	1	8
seljanke	1	8
divanila	4	8
prizemlju	1	9
crva	3	4
topos	1	5
sigrao	1	6
neprestaloj	1	11
najdraža	1	8
prostire	2	8
karlovcu	4	8
prisjenka	1	9
mostovom	1	8
strunici	1	8
smièiklas	1	9
èestitomu	2	9
trepetljike	2	11
fiammetti	1	9
prihajati	1	9
najmudrija	1	10
kriknuv	1	7
velik	33	5
stana	19	5
srbima	1	6
simpatije	2	9
podnosi	2	7
potrèala	6	8
zanilo	1	6
gordost	1	7
posveæujem	1	10
razvaliti	2	9
velièi	1	6
medenjake	2	9
vragovac	4	8
èikola	1	6
kovrèati	1	8
dvigši	2	6
vedre	12	5
umnažati	1	8
baša	4	4
pronja	2	6
nu	77	2
muževnost	1	9
srebrnih	2	8
ocjeni	1	6
tudj	4	4
odzivlju	1	8
izmašio	1	7
zbudio	1	6
karlovaèki	1	10
slavni	26	6
razrovani	1	9
gležnja	1	7
laæao	1	5
dorida	1	6
vrejuju	1	7
knjigom	2	7
obazriv	1	7
otišla	11	6
uronuti	1	7
slivô	1	5
upadši	1	6
policom	1	7
nevjerna	2	8
kontesa	1	7
leonem	1	6
èupala	1	6
polomljen	1	9
upisan	1	6
nezasitne	3	9
propao	4	6
prezirah	2	8
poškropi	4	8
premami	1	7
tišja	1	5
zateknu	1	7
otmenom	1	7
blaženstvu	2	10
krvno	1	5
posuta	2	6
tašæim	1	6
cvjetnoj	2	8
greškom	1	7
usahlo	1	6
stazu	14	5
razložeæi	3	9
èalma	1	5
svitlost	23	8
razèuo	1	6
imo	1	3
ugladjene	1	9
oštrac	1	6
stavlja	3	7
zaostalog	1	9
grki	1	4
bosutu	2	6
uveo	1	4
štalama	1	7
prijateljica	4	12
ubojiti	2	7
motivi	2	6
usnama	2	6
korita	2	6
uklanjaju	1	9
neugodnosti	1	11
navela	1	6
tale	1	4
ustajao	1	7
krilma	1	6
èuvstvâ	2	7
augm	1	4
župne	1	5
razdirala	1	9
obstat	1	6
svršilo	3	7
uzrujaju	1	8
izumrt	1	6
odista	3	6
pipe	1	4
lovièki	1	7
demeskinja	1	10
šljive	2	6
vreæa	1	5
narciž	2	6
podbiti	1	7
iadra	1	5
spoje	1	5
zabludila	1	9
spoljašnja	1	10
cvatuæ	1	6
milinje	2	7
bezdušnih	1	9
šaptom	5	6
sjedištem	1	9
granèici	3	8
ephebosque	1	10
umiv	1	4
prognanik	1	9
odtudjila	1	9
sluhom	1	6
prijaznim	1	9
goleti	1	6
contemplativa	1	13
izljev	4	6
tri	180	3
magogom	1	7
bonum	1	5
natrpano	1	8
kralju	4	6
franjevci	4	9
sadašnju	1	8
neprekidce	1	10
odgovoriti	13	10
prignuv	5	7
donijeti	1	8
zmijurine	1	9
zdjelicu	1	8
navrjeli	1	8
ganges	1	6
stala	34	5
književnost	23	11
bili	122	4
rekonstruirali	1	14
viènjih	3	7
složne	1	6
odru	2	4
susrititi	1	9
poklonila	1	9
krilata	1	7
primit	1	6
pokojnim	1	8
stjepanove	1	10
nikoko	4	6
uzljube	1	7
preopake	1	8
deliberante	1	11
predteæi	1	8
dozvolite	1	9
oskudan	1	7
stradao	1	7
luciferovih	1	11
dosadna	1	7
milosrdje	3	9
patmosu	1	7
odgovore	3	8
podgoratliju	1	12
zemaljskome	1	11
sokacih	1	7
mladjarija	1	10
èarati	2	6
domazetoviæev	1	13
faza	2	4
sjali	1	5
priteže	1	7
zatireš	1	7
prascu	1	6
sliš	35	4
rogatom	2	7
repu	3	4
priležno	4	8
razstane	2	8
izbijali	2	8
dalekih	2	7
božjakovini	4	11
mognemo	2	7
proprti	1	7
spor	1	4
kmetskim	4	8
predhodnica	2	11
obrativ	8	7
kožice	1	6
prividnost	2	10
mihaila	1	7
slobodne	9	8
anonimnosti	1	11
djeèije	2	7
slavjanskog	4	11
ameto	1	5
mletaèkom	6	9
kopanja	1	7
kušati	3	6
meène	2	5
turobnih	1	8
zarezo	1	6
zavide	1	6
maštu	6	5
skokovih	1	8
namjestita	1	10
hitio	1	5
epos	2	4
osmanovici	1	10
odaju	4	5
karme	1	5
skupljeni	2	9
rastajao	1	8
polušaj	1	7
žuèju	1	5
stazi	13	5
bridnjaku	1	9
hladnog	2	7
sanjaš	5	6
raspiriti	1	9
laki	3	4
èitav	9	5
marami	1	6
najedrane	1	9
pamtivijeka	2	11
dnevnog	1	7
gostom	1	6
zgranut	1	7
dojavi	2	6
istrgla	1	7
koraca	1	6
shodan	1	6
ovakvih	1	7
nade	42	4
bezobrazna	1	10
prednjaci	1	9
književnici	2	11
pošaljemo	3	9
meus	3	4
naseljenu	1	9
gursuz	1	6
esztergon	1	9
dalmatinskoj	3	12
iluzija	1	7
kotoraninu	1	10
najzadnjem	1	10
ugleda	16	6
pošadši	2	7
jenjat	1	6
odvode	1	6
ilirskoj	1	8
nizka	1	5
ljubezna	7	8
opeta	12	5
desures	1	7
govorit	5	7
socijalnog	1	10
zborio	2	6
pomicanje	2	9
semiramis	3	9
pripovjedila	1	12
spram	5	5
femina	1	6
tmušu	2	5
okrabuljiti	1	11
mladiæev	3	8
bile	62	4
tiše	2	4
korabljo	5	8
skinuvši	2	8
accenti	1	7
lieèenje	1	8
pano	1	4
živahan	1	7
tursko	4	6
škraèljivom	1	11
prodaju	1	7
omamljen	3	8
nec	3	3
izkrcaju	1	8
odmori	3	6
robert	5	6
kader	1	5
sumorne	1	7
povjestnica	2	11
bravu	2	5
pieta	1	5
prekrstivši	2	11
popuštao	1	8
bašèom	2	6
biskupom	7	8
divniæa	7	7
sipljuæ	3	7
èvrst	4	5
sasula	2	6
pritrkala	2	9
èeškoga	2	7
kosit	1	5
biè	3	3
prislavka	5	9
predajte	3	8
uzdignuo	1	8
bojna	4	5
okvirevih	1	9
anaksagorina	1	12
razgovaraju	6	11
ostajte	3	7
sudjeno	12	7
sliedom	2	7
tipareæ	1	7
vieænicu	2	8
opanci	2	6
poèivaše	4	8
filistejcim	1	11
grabkove	1	8
šibati	1	6
lice	182	4
ugode	1	5
zaratili	1	8
obujat	1	6
težanimi	1	8
sâm	34	3
razmahnuvši	1	11
æemer	1	5
uzdan	2	5
veslu	1	5
nalik	8	5
ovakovim	3	8
kuju	3	4
izviniti	1	8
ostati	36	6
nesavezne	1	9
nasladjivat	2	11
skoka	6	5
realnim	1	7
beèkoga	1	7
æere	2	4
prodju	5	6
lieèniku	1	8
nebeskih	9	8
breè	1	4
pjevaèem	1	8
snažno	7	6
zakopati	2	8
otope	1	5
puštati	1	7
ohoditi	1	7
ruke	198	4
slabokrvan	1	10
zaljev	2	6
provere	2	7
èolakiæevih	1	11
bielo	22	5
uredio	10	6
donje	3	5
beskružnoj	1	10
sovu	1	4
zablještena	1	11
prijima	3	7
plahoviti	3	9
sobom	123	5
naginjao	2	8
peran	1	5
rastaliti	1	9
ped	1	3
radinost	1	8
nizati	1	6
odieva	1	6
poèinila	1	8
umijesila	1	9
droban	1	6
starèevoj	1	9
kan'	2	4
pleæima	3	7
topi	15	4
propalih	1	8
uzdiže	6	6
porièe	1	6
caesar	1	6
smartju	4	7
oženiti	9	7
osladi	1	6
dioskurima	1	10
podžupanov	1	10
ukupna	1	6
tomaša	1	6
lahore	1	6
dragocjeni	1	10
lopatu	2	6
dil	18	3
uzhiæene	1	8
griešit	1	7
pregonili	2	9
prosili	2	7
dosizanja	1	9
rasute	3	6
stadoše	16	7
grozoto	1	7
podobšæina	1	10
skrušen	6	7
haljinom	2	8
znadu	19	5
svježi	2	6
grivièiæu	1	9
voljno	9	6
habuit	2	6
slavku	1	6
nitih	1	5
zapamtili	1	9
uèitelj	10	7
mosor	2	5
preslica	1	8
dolama	1	6
satkao	1	6
poklon	2	6
brodu	1	5
preslici	2	8
htjede	18	6
ruhom	3	5
èarobnica	4	9
obrazom	6	7
imetak	4	6
vojnici	10	7
dokazih	1	7
pripovidu	1	9
siæana	1	6
skanjujete	1	10
neptunu	1	7
novost	2	6
kukuljeviæu	7	11
življah	1	7
diène	1	5
lucretius	1	9
bojno	5	5
opalo	1	5
prsten	6	6
èerkeza	1	7
gore	1	4
brodovlja	2	9
recite	8	6
simena	1	6
puštaš	1	6
papratoviæ	1	10
stupovlje	1	9
oluju	5	5
izljubi	1	7
odala	4	5
kavaza	1	6
gledati	34	7
dovikivale	1	10
hita	6	4
povijaju	1	8
gradec	2	6
odma	1	4
neponjatne	2	10
dekoltiranu	1	11
planut	3	6
uzmite	2	6
cjevanica	1	9
sejom	4	5
prate	4	5
raskriliše	1	10
kolibe	2	6
ofrajal	1	7
ponajèišæe	1	10
zanieme	1	7
tekstu	4	6
sabrao	3	6
