token	frequency	length
ljubâ	2	5
pratilac	1	8
puštenicu	1	9
sretna	23	6
umieša	7	6
ralo	3	4
siromaštvo	2	10
poèinut	4	7
vrstan	2	6
utvrdio	1	7
daæ	1	3
tugi	1	4
srasle	1	6
stjerali	1	8
zasinuti	1	8
kontekst	2	8
razsipate	1	9
inteligentnom	1	13
oèinskim	1	8
travnik	3	7
dru	1	3
spustiti	6	8
potegnuvši	3	10
gdješto	4	7
predaj	2	6
ruèka	1	5
posuda	1	6
vidan	1	5
sjediniti	1	9
optimist	3	8
smjeti	3	6
sudile	1	6
najvoli	2	7
pogledala	14	9
poigravao	2	9
plugom	4	6
skititi	1	7
veselja	17	7
poskidali	1	9
ljubicâ	1	7
uvrijedjeni	1	11
crnoga	7	6
dumaèe	2	6
reèenici	1	8
kolovozu	3	8
saint	2	5
uzoren	5	6
drastièno	1	9
odrediva	1	8
grafika	1	7
preuzete	1	8
taljige	1	7
quibus	1	6
grdit	1	5
sirotinji	6	9
tragiènu	1	8
nabrojiti	1	9
podtesti	1	8
spoznao	1	7
vjedjama	1	8
naslovom	6	8
buduæijeh	1	9
colonicali	1	10
domina	2	6
zabavi	7	6
poštrapa	2	8
angjelske	2	9
maca	2	4
energije	1	8
ondaj	1	5
metali	2	6
eksemplarno	1	11
kamenom	4	7
pobolievanja	1	12
ispravno	1	8
nabitimi	1	8
tinje	1	5
preporuèujuæi	1	13
drhtavo	2	7
iskavši	1	7
vasione	1	7
ikojem	1	6
izašal	3	6
izrazio	1	7
bojâ	1	4
toplina	3	7
monze	1	5
prostorja	1	9
smrznuta	2	8
ledenjari	1	9
sjajila	1	7
moru	63	4
zveèi	3	5
predvoj	1	7
vašemu	2	6
nagrlim	1	7
nadjoše	6	7
doglasile	1	9
ganu	2	4
prizor	12	6
kreljutim	2	9
biševska	1	8
odbacila	2	8
vekši	2	5
rasuti	1	6
zadarska	24	8
ljekovitih	1	10
tmastomodrim	1	12
pijucka	1	7
pretjeravao	1	11
najmožnijih	1	11
beza	1	4
unjavice	1	8
prikloniv	1	9
mirisne	12	7
potrebi	5	7
ponoviti	1	8
tvoraèki	1	8
otvarao	2	7
fantaziju	1	9
ognjeni	3	7
pojavila	2	8
prova	1	5
pokaranje	2	9
obogaæenje	1	10
prelila	1	7
budali	1	6
rog	2	3
ispao	3	5
cvjetnom	4	8
poveæu	1	6
zaigrati	1	8
štivo	1	5
osramoæena	1	10
kliju	2	5
opominjala	1	10
rimljanina	1	10
zapadnje	1	8
bisergrane	1	10
simbol	9	6
zaèinjavac	5	10
presjeæi	3	8
zarumeni	2	8
ljubitelju	1	10
preselio	2	8
sredan	1	6
slamke	2	6
zaluta	1	6
pjesnièkom	3	10
stupite	1	7
èasovih	1	7
slavenski	11	9
susednjih	2	9
èašicu	1	6
laktom	4	6
plemenu	3	7
kosmosom	1	8
ledenije	1	8
dioniÈke	1	8
sedefa	1	6
vodi	55	4
svietloga	1	9
golima	1	6
banderijalski	3	13
kojekakvima	1	11
neumiæstvo	2	10
lanfranki	2	9
osmješnim	1	9
osjeke	1	6
ponajbolji	2	10
rimovanim	1	9
narešena	6	8
ovu	62	3
gorskoj	1	7
stiže	20	5
zarudje	1	7
odviše	6	6
protrne	2	7
lila	3	4
zabrini	1	7
iskusan	1	7
djeverušom	1	10
gazdarici	2	9
obsipavali	1	10
slame	3	5
plemiæke	6	8
politièko	1	9
pištala	1	7
venere	4	6
nazvah	1	6
bašèu	8	5
zapadnjaka	1	10
vještim	4	7
nepokoj	3	7
pjesmo	5	6
filios	1	6
ramenu	10	6
razkrstila	3	10
rajevito	2	8
iztruo	1	6
priliène	2	8
ovakovih	1	8
primivši	2	8
licâ	1	4
africovom	1	9
prošal	4	6
glagoljaške	2	11
tražit	5	6
milovanja	8	9
kapnu	1	5
peše	1	4
zataknuti	1	9
vježbalištih	1	12
užareviæa	1	9
umijete	1	7
pojas	4	5
nadivit	2	7
osvojenje	1	9
kraje	9	5
fina	6	4
iztoène	5	7
uhiæenike	1	9
ukoèi	1	5
smreke	3	6
buduænošæu	3	10
krajiškoj	1	9
jadnice	1	7
snila	2	5
vizionarskim	1	12
bdio	1	4
oèuvao	2	6
perjanice	1	9
prignem	1	7
andrije	2	7
razstajanju	1	11
rieèmi	4	6
mlieènoga	1	9
jašeæi	1	6
posljednji	9	10
borniÈe	1	7
spisi	1	5
mogli	44	5
udivljen	2	8
doturo	1	6
skoèim	2	6
utamani	3	7
petraèiæa	1	9
boca	1	4
gospodarite	1	11
obuku	2	5
samica	1	6
magjara	3	7
podobšæin	1	9
prenuo	1	6
osuši	2	5
ukoèeno	6	7
izabrala	1	8
pijavice	2	8
naravni	1	7
vene	5	4
samosvojnosti	1	13
zaklinje	2	8
pitale	1	6
obviti	1	6
viknule	1	7
pozornije	1	9
prijimljuèi	1	11
udovi	1	5
glavobolju	1	10
horugvica	1	9
bakonji	1	7
obmamam	1	7
pletenica	3	9
svežnjiæ	1	8
zaticati	1	8
ponamjestiti	1	12
kuratoru	3	8
pomaknulo	1	9
porazni	1	7
baštinila	2	9
nitkor	1	6
prepelice	1	9
èvrstu	4	6
okupit	1	6
skvašenih	1	9
nastaje	5	7
nijesu	6	6
antièki	4	7
zametnut	1	8
debele	7	6
molitvicu	3	9
usuprot	4	7
kažu	30	4
pisanci	1	7
bataljon	2	8
obazirala	4	9
æoso	1	4
prsluku	1	7
susreti	2	7
urediti	6	7
bjegunice	1	9
cvancika	1	8
ukrug	1	5
krškati	2	7
trebate	4	7
haznadar	1	8
nisu	114	4
književnim	4	10
premožen	2	8
prejakim	1	8
èita	3	4
kolaè	7	5
loza	6	4
žesti	4	5
družinèe	1	8
groma	6	5
nudja	2	5
sfingo	1	6
ziev	1	4
govoreæi	29	8
rok	9	3
pohode	11	6
nekrst	1	6
nokat	1	5
blatne	1	6
melanholija	1	11
namjestnikom	1	12
odrišene	1	8
emendaretur	1	11
hunski	1	6
uvažavanja	1	10
brojeæi	1	7
djevojèinu	1	10
scende	1	6
dosjetiti	1	9
uzgajati	2	8
išèupao	1	7
prošloj	2	7
glasovito	5	9
župniku	3	7
merdevine	1	9
tvorèevu	1	8
ražanca	1	7
mimohodi	1	8
užasna	8	6
prolieæe	6	8
banderijalcima	1	14
hrt	1	3
njiše	4	5
glatke	1	6
zapadno	2	7
raèunali	1	8
sjâj	1	4
zubima	8	6
èovjeètvu	1	9
sunèajuæ	1	8
išèezla	2	7
ovaca	12	5
svaršen	1	7
svakih	4	6
zabludjene	1	10
sveticom	1	8
zviždukom	2	9
olive	1	5
veæi	23	4
slobodom	3	8
karbavski	1	9
prirodnoj	1	9
ugristi	2	7
nahustile	1	9
ustoiljadaputa	1	14
prijašnjim	2	10
primorske	3	9
ovome	5	5
voditi	10	6
tmurne	1	6
zapliva	1	7
orudje	2	6
prostirati	1	10
mogah	2	5
razmicati	1	9
râd	8	3
mleci	1	5
veèerali	1	8
pop	5	3
sjajnu	7	6
junaèine	1	8
uzore	2	5
sakupljenih	1	11
prikazanju	1	10
vatrene	1	7
stekavši	1	8
munuti	1	6
rumena	15	6
gdoslidi	1	8
zidana	2	6
donna	1	5
imadem	5	6
muževno	2	7
otimanje	2	8
kujundžija	1	10
èujah	1	5
samih	5	5
junacima	1	8
privarajuæi	1	11
prevrtati	1	9
uznemirivala	1	12
poslana	3	7
ustinus	1	7
rojen	2	5
kronike	1	7
pripoviedana	1	12
èasnih	1	6
ravno	19	5
humaniora	1	9
markoviæa	1	9
bijegu	1	6
formi	2	5
nejasno	4	7
namakneš	1	8
plašt	3	5
potpunom	1	8
zapanjuje	1	9
nerad	1	5
prstena	1	7
poljepšane	2	10
osamnaest	1	9
prvo	28	4
uvraèana	1	8
nožica	2	6
tvore	5	5
izprièavajuæ	1	12
bojažljiv	1	9
osobitim	2	8
povjesnice	1	10
protonotarovom	1	14
mašili	1	6
dovratak	3	8
ovakva	1	6
didier	1	6
praszinskiana	1	13
ubistren	2	8
zaboravila	7	10
ivaniæa	1	7
živci	2	5
pretvaranja	1	11
zaprijeti	1	9
his	1	3
martirske	1	9
neznana	1	7
oblikuje	2	8
hæere	1	5
popinjao	1	8
lanjske	2	7
sušanica	1	8
zaveza	1	6
škropljaše	1	10
prijimam	1	8
drama	4	5
sirotinje	4	9
uspava	1	6
slavenskih	2	10
hodniku	2	7
pomrsi	2	6
polaèe	5	6
èetir	7	5
nažanji	1	7
strastvenim	2	11
pales	1	5
božanska	2	8
smioni	2	6
otajstvo	6	8
